no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets,loan_status
0,0,1,8200000,19200000,16,492,52900000,1
3,1,1,3600000,13200000,16,557,25800000,0
4,0,1,9500000,31800000,6,519,47800000,1
0,1,1,1900000,5700000,18,699,14200000,0
3,1,1,9100000,24600000,2,741,61100000,0
5,0,0,1100000,3800000,18,508,5200000,1
5,1,1,1100000,2800000,10,647,10400000,0
1,0,0,9300000,28600000,14,656,66300000,0
4,0,1,3900000,10600000,2,439,25200000,1
5,1,1,1500000,4000000,12,350,10400000,1
5,0,0,800000,2200000,6,493,5200000,1
4,0,0,600000,1800000,6,851,4100000,0
2,0,0,4400000,12500000,18,492,21900000,1
4,0,1,2700000,5400000,6,861,18100000,0
3,1,1,6200000,14600000,2,664,50100000,0
5,0,1,700000,1300000,16,362,6400000,1
0,0,0,3400000,9400000,6,703,17800000,0
1,1,1,4900000,16800000,12,758,21400000,0
3,1,1,4200000,9700000,2,396,21800000,1
0,0,1,5300000,10600000,2,828,38000000,0
5,0,1,3700000,10000000,20,709,23000000,0
4,1,1,5600000,17500000,10,528,35800000,1
2,0,1,4300000,16000000,14,623,38000000,0
4,1,1,7100000,24500000,14,599,43300000,0
4,0,1,5400000,12700000,4,622,35900000,0
0,1,0,6000000,13100000,6,385,53600000,1
4,0,1,4100000,12500000,2,579,32300000,0
4,1,0,8300000,17900000,20,846,53000000,0
3,0,0,8100000,23900000,10,449,50400000,1
1,1,0,7200000,24900000,14,666,37600000,0
5,0,0,7200000,17500000,4,380,26400000,1
2,0,1,3500000,8100000,4,589,25700000,0
1,0,0,6200000,19500000,12,845,31300000,0
3,1,0,5200000,17300000,10,401,23100000,1
0,1,0,4500000,14500000,2,766,38300000,0
5,1,0,5400000,15100000,12,522,29500000,1
3,1,1,2000000,6900000,6,834,14400000,0
3,0,0,8900000,25400000,8,588,54800000,0
2,0,0,5000000,10600000,4,570,34700000,0
2,0,0,4900000,17600000,6,860,39400000,0
4,0,1,5300000,19200000,4,655,42800000,0
3,1,1,8500000,27700000,4,457,28100000,0
5,0,1,700000,2100000,14,863,4600000,0
3,1,1,5900000,18900000,4,742,46500000,0
3,0,0,3500000,13300000,4,798,28400000,0
5,1,1,7700000,18900000,16,552,52200000,0
2,1,1,4500000,12500000,12,418,21400000,1
0,0,0,9100000,22200000,6,419,36000000,1
1,1,1,9000000,29900000,2,668,58400000,0
2,1,0,8900000,29200000,8,608,61200000,0
5,1,0,6500000,13800000,10,342,39300000,1
4,1,1,8100000,18000000,8,817,36900000,0
1,1,0,8400000,29900000,16,476,58700000,1
0,1,0,5300000,20000000,6,881,43100000,0
2,0,0,4100000,15600000,12,838,28100000,0
3,1,0,6900000,27400000,4,406,45900000,0
1,0,1,5200000,19500000,12,778,35200000,0
5,1,1,2000000,7400000,14,799,12700000,0
3,0,0,4600000,17800000,20,716,30500000,0
0,0,1,7100000,20100000,16,756,36000000,0
0,1,0,9300000,20100000,10,743,42100000,0
3,1,0,5400000,19400000,20,731,41300000,0
3,1,0,4100000,8500000,2,833,31600000,0
4,1,0,4900000,11400000,8,470,39000000,1
5,0,1,5400000,21200000,20,734,28100000,0
0,0,0,3000000,9600000,12,620,20100000,0
0,1,1,6800000,14400000,8,812,47200000,0
4,0,1,5100000,14000000,12,459,27000000,1
0,0,1,9800000,32600000,10,704,54000000,0
1,0,1,1600000,4100000,6,391,12100000,1
4,0,0,8000000,29100000,4,421,50900000,0
5,0,0,2900000,6700000,14,796,21400000,0
4,0,0,9200000,30300000,10,607,79100000,0
3,1,0,9500000,20400000,14,376,43200000,1
0,0,1,3700000,8500000,8,424,26400000,1
5,0,1,7100000,20800000,6,442,45300000,1
5,1,0,5600000,17600000,14,448,35900000,1
0,0,1,1200000,2700000,2,638,6200000,0
3,1,0,1600000,5600000,6,710,11500000,0
4,1,1,1600000,4800000,20,641,10700000,0
2,1,0,5300000,20200000,10,348,42100000,1
5,1,0,9100000,19900000,20,519,65100000,1
4,1,1,9400000,35000000,10,517,60000000,1
3,1,0,5900000,22400000,6,375,39900000,1
2,0,1,1100000,3400000,10,426,6400000,1
4,0,1,3100000,11500000,14,785,19600000,0
4,1,0,2200000,8600000,20,373,12700000,1
1,0,0,6000000,20100000,6,476,44600000,1
1,0,1,2000000,5600000,18,320,11400000,1
4,0,0,7200000,22900000,18,657,41200000,0
1,1,1,500000,1900000,12,868,2800000,0
1,1,1,5800000,13900000,6,345,39700000,1
0,1,0,200000,300000,6,472,1200000,1
4,1,1,4600000,9500000,20,613,27800000,0
5,1,1,4600000,12800000,14,769,37300000,0
1,0,0,6500000,23100000,20,741,53500000,0
4,1,1,4400000,16600000,14,889,23000000,0
0,1,1,900000,3600000,10,683,6000000,0
0,1,1,3200000,7400000,18,780,18600000,0
3,0,0,600000,1100000,8,538,3000000,1
1,1,0,5200000,12600000,10,721,27300000,0
3,1,1,6400000,15200000,14,467,46200000,1
2,1,0,1000000,2500000,6,551,6500000,0
2,1,0,6800000,14800000,14,803,40800000,0
0,0,0,3000000,8400000,10,361,17000000,1
1,1,1,8700000,30700000,6,708,62000000,0
4,0,1,8800000,20900000,18,766,76500000,0
1,1,1,3900000,11500000,2,464,32500000,1
5,0,0,1700000,4300000,2,517,8100000,1
3,1,1,900000,2300000,6,747,4900000,0
1,1,0,7200000,24700000,6,596,37700000,0
0,0,0,9200000,25400000,2,783,59400000,0
3,1,0,5700000,19400000,2,335,45700000,0
5,1,1,1100000,2700000,4,889,5600000,0
2,1,1,1100000,2200000,4,874,6200000,0
0,0,1,6000000,23900000,4,394,38900000,0
2,0,1,8100000,28500000,20,420,44700000,1
2,1,1,6500000,25100000,20,848,41900000,0
0,0,1,7600000,17900000,16,788,42500000,0
1,0,0,2200000,4900000,8,509,12100000,1
4,0,1,6300000,23900000,6,899,38600000,0
4,1,1,6700000,15800000,12,466,38600000,1
5,0,1,1300000,4300000,2,595,6200000,0
1,1,0,2800000,6700000,12,322,14600000,1
3,0,0,7000000,18900000,2,691,32800000,0
3,1,1,8800000,26700000,10,379,62300000,1
0,0,0,8900000,25800000,18,531,44100000,1
5,1,0,7000000,21800000,4,631,39800000,0
0,0,1,6900000,18600000,10,330,49900000,1
5,0,0,9200000,29200000,16,383,67100000,1
0,0,1,6100000,19700000,16,678,40800000,0
1,0,1,4400000,14700000,8,894,29500000,0
4,1,0,9900000,22700000,12,567,73300000,0
5,1,0,3900000,14000000,4,708,23300000,0
3,0,0,6800000,21200000,2,433,42100000,0
4,1,0,3600000,8700000,14,302,22000000,1
4,0,0,700000,2600000,14,736,5000000,0
2,1,1,4000000,8500000,6,323,30600000,1
4,0,0,1800000,4100000,12,670,11700000,0
3,1,0,5600000,21000000,12,609,40500000,0
4,1,0,6800000,24200000,18,349,44000000,1
5,1,1,600000,1500000,2,319,3900000,1
1,1,0,4200000,16200000,14,391,24600000,1
4,1,0,5000000,18700000,10,755,19800000,0
1,1,0,4100000,12200000,6,354,32700000,1
3,1,1,2200000,8800000,2,877,15800000,0
1,1,0,3400000,8600000,16,312,23900000,1
0,0,0,7100000,15900000,14,746,44900000,0
3,0,0,5800000,19600000,16,313,48200000,1
2,0,0,3400000,12900000,14,857,16500000,0
2,1,0,7700000,18300000,20,504,38000000,1
0,0,0,500000,1200000,14,556,3200000,0
2,0,1,5300000,11000000,14,393,34900000,1
0,0,0,4700000,14400000,14,881,37100000,0
2,0,1,4300000,12200000,14,719,27400000,0
2,0,1,900000,2500000,16,458,4300000,1
4,0,0,2000000,7500000,14,857,12100000,0
2,0,1,2000000,7600000,16,429,16400000,1
3,1,0,4100000,15900000,12,538,19200000,1
1,1,0,6900000,14400000,10,828,53300000,0
5,0,1,2300000,6100000,6,339,18300000,1
5,0,1,5800000,16600000,18,376,33900000,1
5,1,0,8000000,30000000,14,549,39300000,1
3,1,1,3700000,12700000,18,587,27000000,0
0,1,0,2600000,8400000,18,861,13500000,0
0,1,0,3000000,7000000,12,409,22800000,1
4,0,0,2700000,10200000,4,528,21600000,0
4,1,0,5700000,19600000,8,691,26100000,0
2,0,0,1500000,3600000,4,584,11700000,0
5,1,0,6800000,20000000,4,459,47400000,1
1,0,1,8100000,31700000,10,755,47500000,0
3,1,1,9200000,27700000,20,688,58100000,0
1,1,1,7600000,26000000,6,384,31700000,1
4,0,0,600000,1600000,20,869,4300000,0
1,1,1,4700000,18700000,20,445,17200000,1
0,0,0,1400000,5500000,6,393,9200000,1
3,0,1,9400000,24600000,10,414,51600000,1
2,0,0,9700000,19900000,16,395,64300000,1
3,1,1,8900000,21000000,14,815,39000000,0
5,0,0,4600000,10500000,8,758,26900000,0
5,1,1,5600000,14500000,10,457,39900000,1
0,0,1,1000000,3200000,10,854,7500000,0
3,0,0,3500000,10300000,16,324,18300000,1
0,1,0,7900000,31500000,14,849,66900000,0
3,0,1,6100000,24200000,12,672,39900000,0
3,1,1,8900000,20900000,6,859,66500000,0
4,0,0,5300000,15400000,8,584,25800000,0
5,1,0,1300000,4800000,4,346,9800000,0
3,0,0,4000000,12800000,18,635,30100000,0
2,1,0,8700000,22700000,4,365,60400000,1
1,1,0,9500000,20000000,16,856,66800000,0
5,0,1,9000000,20000000,2,440,54200000,1
0,0,1,7300000,23300000,2,616,51500000,0
3,0,1,7400000,25700000,2,461,28800000,0
5,1,0,3100000,10800000,10,681,15700000,0
2,0,0,4300000,9400000,2,485,32300000,1
1,0,1,2400000,8300000,6,684,16600000,0
1,0,0,5400000,17900000,14,727,30100000,0
2,1,0,1600000,5100000,6,784,9700000,0
3,1,1,9900000,20400000,4,865,79200000,0
3,1,0,5800000,20100000,18,791,34100000,0
4,1,0,2200000,8500000,16,866,15500000,0
0,0,0,5000000,14400000,2,761,24300000,0
2,1,1,600000,2100000,18,572,2600000,0
4,0,0,2200000,8600000,6,601,15600000,0
1,0,1,2600000,5500000,14,820,16400000,0
4,1,0,1200000,4300000,8,598,7900000,0
2,0,0,3100000,8700000,18,544,20100000,1
5,1,1,4600000,14500000,14,561,24500000,0
4,0,1,9300000,35500000,6,547,61500000,1
4,0,0,6300000,13400000,2,504,45300000,1
2,1,0,5900000,20800000,14,530,34800000,1
2,0,1,2900000,10600000,6,614,12500000,0
4,1,0,6100000,22400000,18,351,46000000,1
4,0,1,5900000,19700000,10,431,40500000,1
1,1,1,4600000,18400000,10,403,29200000,1
2,1,0,7000000,20200000,8,668,56800000,0
3,1,1,5100000,10400000,18,399,37000000,1
1,0,0,3100000,10600000,14,665,20400000,0
2,0,0,4100000,12800000,16,344,37200000,1
0,0,0,1800000,5400000,16,555,13600000,0
4,1,1,8200000,26900000,20,301,78300000,1
2,1,1,800000,2100000,6,726,5200000,0
2,0,0,8400000,23100000,6,689,39000000,0
0,1,0,8500000,33900000,4,665,43700000,0
3,1,1,3300000,12700000,16,608,26900000,0
3,1,0,5800000,12800000,20,335,30700000,1
3,1,0,4400000,10500000,18,677,19200000,0
1,1,0,2600000,8500000,2,491,11400000,0
2,1,1,9600000,28100000,20,763,72600000,0
5,1,1,5200000,18100000,8,809,28800000,0
5,1,1,9700000,36400000,16,544,55000000,1
1,0,1,200000,800000,14,624,1200000,0
3,0,0,6500000,16800000,10,388,32400000,1
4,0,1,7200000,23100000,14,644,39300000,0
0,1,0,5200000,18400000,14,600,37100000,0
2,1,0,6500000,14100000,2,709,38600000,0
5,0,1,2300000,5600000,8,642,15600000,0
0,1,1,3300000,10400000,4,423,26900000,0
0,1,1,2000000,5900000,12,900,16300000,0
2,0,1,8300000,19500000,4,415,42000000,1
4,0,1,3800000,14300000,4,645,17900000,0
0,1,0,5700000,15600000,16,742,24700000,0
4,1,0,7300000,19800000,8,724,50800000,0
1,0,0,1600000,5400000,12,707,9300000,0
5,1,1,800000,2500000,4,780,3500000,0
4,1,0,6300000,21900000,10,538,42100000,1
2,0,0,8800000,17700000,14,706,66700000,0
0,0,0,7300000,14500000,16,811,39100000,0
2,0,1,3800000,9100000,14,849,20700000,0
3,0,0,6200000,16700000,10,880,53200000,0
5,1,1,3500000,9500000,4,664,23000000,0
5,0,1,1400000,5000000,2,465,9400000,0
3,1,1,3500000,12000000,2,786,19400000,0
1,0,1,600000,2000000,10,326,4500000,1
0,1,0,4100000,10800000,16,399,31500000,1
2,1,1,5400000,11500000,6,841,24600000,0
2,1,1,2000000,6700000,14,638,12300000,0
4,0,1,3500000,8900000,4,478,23000000,1
0,0,1,8300000,30000000,4,600,63900000,0
0,0,1,6700000,15600000,16,768,31900000,0
0,1,0,1900000,6500000,10,523,10800000,1
2,0,1,6500000,20900000,14,327,35800000,1
1,0,1,600000,1800000,8,799,4700000,0
5,0,0,7000000,23000000,18,803,56900000,0
2,0,0,7700000,15400000,18,524,45600000,1
1,0,0,2600000,6600000,6,506,15900000,1
1,0,0,9200000,18800000,2,351,69100000,1
2,0,1,1800000,4200000,8,648,12100000,0
1,1,0,4900000,18500000,4,612,31300000,0
1,0,0,5700000,12400000,14,396,36100000,1
3,1,0,300000,800000,2,458,1800000,1
3,0,1,1700000,3400000,6,488,6700000,1
4,0,0,7000000,18900000,6,475,27300000,1
1,1,0,2200000,7000000,18,417,14300000,1
2,1,0,6800000,18700000,8,781,47600000,0
1,1,1,2400000,6200000,12,337,17200000,1
0,1,1,600000,1800000,12,511,3100000,1
4,0,0,6200000,17300000,6,837,45600000,0
1,1,0,7600000,24600000,12,810,47300000,0
2,1,0,4800000,10600000,8,588,28400000,0
5,0,0,4200000,9200000,12,870,23600000,0
0,1,1,7200000,20700000,10,733,56700000,0
5,1,1,6400000,20300000,16,348,48200000,1
0,1,1,8900000,23000000,12,741,51000000,0
3,1,0,5100000,14500000,12,306,24000000,1
2,0,1,6300000,19500000,18,428,49500000,1
3,0,0,6600000,22100000,4,455,39300000,0
1,1,1,4800000,14700000,2,356,34800000,0
0,0,0,200000,400000,4,594,1000000,0
0,1,1,7500000,25800000,18,844,34800000,0
4,0,0,9000000,34700000,4,771,56100000,0
2,0,0,5400000,12500000,4,622,34500000,0
1,1,1,1700000,4500000,20,480,8100000,1
4,0,0,4300000,11500000,20,337,39300000,1
1,0,0,5200000,11200000,6,698,43200000,0
4,1,0,4400000,17000000,18,302,22800000,1
1,1,1,3900000,7800000,14,349,27100000,1
0,0,0,1100000,3300000,10,482,7600000,1
2,0,0,2500000,8200000,10,429,13700000,1
4,0,0,500000,1300000,8,471,3000000,1
0,0,1,9000000,32400000,10,895,52800000,0
1,1,1,5100000,20300000,18,757,31800000,0
2,0,0,5200000,13500000,2,777,33800000,0
5,1,1,4400000,8900000,4,761,26300000,0
1,0,0,1900000,4200000,12,821,14400000,0
4,1,1,9200000,26500000,6,662,33600000,0
2,1,1,4800000,16500000,10,350,22800000,1
4,1,0,4900000,10700000,20,321,19200000,1
3,0,1,4800000,10100000,4,368,34200000,1
4,0,0,9300000,24900000,14,455,81300000,1
5,1,1,7500000,24600000,8,744,31200000,0
1,0,0,5900000,16800000,4,806,50800000,0
0,0,0,9400000,27900000,6,456,83300000,1
5,0,0,5300000,13400000,8,719,18500000,0
4,0,0,3700000,9000000,18,668,25900000,0
0,0,1,2500000,5800000,18,494,20300000,1
4,1,0,2800000,10800000,2,841,14500000,0
0,0,1,5400000,21400000,8,721,38700000,0
5,0,0,3100000,9400000,10,414,16300000,1
5,1,0,4800000,15500000,10,812,32300000,0
1,1,0,8800000,17500000,20,832,36800000,0
2,0,0,4100000,14900000,12,571,21500000,0
5,1,0,9700000,37000000,14,459,75000000,1
2,0,1,6400000,24100000,6,592,35000000,0
5,0,0,3400000,13100000,20,527,18000000,1
4,1,0,3500000,10200000,12,333,25500000,1
3,1,0,3200000,10000000,18,532,15300000,1
2,0,1,4900000,13100000,18,754,35200000,0
0,0,1,1300000,4800000,4,835,4700000,1
4,0,0,2500000,5400000,10,592,17700000,0
0,0,0,7500000,27300000,20,553,46700000,0
2,0,0,700000,2000000,8,806,5600000,0
4,0,1,8200000,28500000,2,378,55900000,0
1,1,0,6900000,26200000,4,534,50700000,0
1,1,1,1500000,5900000,16,400,12900000,1
3,0,0,6300000,18300000,18,543,32400000,1
0,1,1,8800000,25600000,10,715,71300000,0
4,0,1,8900000,20700000,6,684,37400000,0
3,1,1,2100000,6100000,8,346,13500000,1
1,0,1,9200000,29200000,6,669,57900000,0
2,1,0,3600000,8000000,12,566,25100000,0
0,1,1,8600000,23600000,2,361,63300000,1
5,0,0,3000000,8000000,6,333,14000000,1
3,1,1,5200000,16300000,8,335,37400000,1
3,0,1,7200000,20400000,10,558,51000000,0
1,1,1,4000000,15600000,12,436,31200000,1
1,1,0,2400000,5200000,2,371,19100000,1
2,1,1,5500000,18400000,10,515,33800000,1
0,1,1,9000000,24300000,10,599,49600000,0
0,1,1,7900000,24000000,20,728,63400000,0
2,1,1,6200000,21600000,20,679,54700000,0
3,0,1,7900000,29200000,4,399,65800000,0
3,1,0,1200000,4500000,6,819,7800000,0
1,0,0,4700000,11700000,6,308,31700000,1
5,0,1,5900000,15600000,2,730,39100000,0
4,1,1,1400000,5100000,14,312,9600000,1
3,1,1,4700000,12800000,16,740,28600000,0
5,0,1,7600000,20000000,10,522,47600000,1
4,0,0,7200000,16900000,4,702,54600000,0
4,1,1,1400000,4300000,16,447,11100000,1
5,0,0,1400000,2900000,4,829,8400000,0
2,0,0,7900000,18500000,18,727,59300000,0
5,1,1,7600000,18700000,14,509,42900000,1
3,0,1,9600000,34200000,2,745,44200000,0
1,1,0,2300000,6600000,18,513,16100000,1
2,1,0,8100000,18500000,6,372,68200000,1
2,0,1,300000,700000,4,411,1900000,1
4,0,0,4700000,10800000,20,495,39600000,1
5,1,0,1100000,2500000,4,827,8100000,0
4,1,0,8600000,25100000,6,820,53700000,0
5,0,1,8700000,28100000,10,660,62300000,0
0,1,0,2200000,8600000,4,563,9100000,0
1,1,1,500000,1400000,10,883,2900000,0
0,1,1,9100000,22000000,12,387,79600000,1
1,0,0,2200000,8700000,12,613,10400000,0
0,1,1,2200000,8000000,14,335,16300000,1
1,0,1,9600000,34500000,2,795,51700000,0
1,0,1,6500000,13900000,8,369,35400000,1
4,0,1,2400000,7400000,18,888,15100000,0
4,1,0,5500000,12300000,6,742,39700000,0
0,0,0,5000000,14400000,4,874,30300000,0
1,0,0,2700000,8100000,16,691,15800000,0
3,1,1,8500000,30300000,12,762,40600000,0
1,0,0,4400000,10700000,18,324,23600000,1
4,1,0,500000,1800000,20,777,2700000,0
0,0,0,8300000,21400000,2,662,53100000,0
2,1,1,6000000,13000000,12,462,24800000,1
3,1,1,4000000,10400000,14,609,25300000,0
5,0,1,4400000,11700000,20,590,21400000,0
3,0,1,4400000,15800000,18,779,31100000,0
2,0,1,1900000,5000000,14,641,9800000,0
0,0,1,5000000,18400000,12,752,35600000,0
0,0,0,8000000,23700000,10,305,63000000,1
4,1,0,8200000,20700000,10,546,53400000,1
2,0,0,7000000,24200000,8,833,53000000,0
2,1,0,2400000,8800000,18,421,12800000,1
5,0,0,6600000,18800000,4,639,33700000,0
3,0,0,3200000,6900000,20,735,17500000,0
0,1,1,2600000,5400000,2,377,13800000,1
3,1,0,6900000,15600000,20,310,33300000,1
4,0,0,4800000,14000000,2,695,33000000,0
1,1,1,300000,1200000,4,355,2000000,0
1,1,1,4300000,14100000,12,525,22800000,1
5,1,0,700000,2400000,20,330,5000000,1
5,0,0,9400000,25800000,14,625,85500000,0
3,1,1,800000,2900000,10,644,4400000,0
5,1,0,4400000,14900000,4,865,32800000,0
1,0,1,4700000,14800000,6,661,34500000,0
2,1,0,2300000,5000000,8,884,10700000,0
5,0,1,8500000,26700000,10,803,51100000,0
2,0,0,7600000,28300000,12,800,57900000,0
2,0,0,3200000,12600000,18,796,21300000,0
4,1,0,2400000,5000000,4,716,12600000,0
0,0,1,500000,1100000,18,479,4400000,1
3,1,1,8500000,28300000,2,810,58700000,0
0,0,1,8900000,20900000,18,568,57500000,0
0,0,0,2800000,5600000,8,842,9300000,0
3,1,1,2900000,7000000,4,806,20200000,0
1,0,1,4900000,17700000,8,722,35900000,0
5,1,0,9600000,20700000,14,442,75600000,1
3,0,1,3300000,9800000,6,360,20500000,1
3,1,0,2800000,5900000,4,461,13700000,1
2,0,0,7800000,22200000,10,735,44200000,0
4,0,1,2500000,8400000,12,761,17600000,0
0,0,0,4400000,10600000,20,653,33600000,0
0,1,0,7900000,30800000,4,726,48900000,0
1,0,0,8900000,22600000,18,617,63500000,0
0,0,0,5600000,13400000,2,460,26400000,1
1,1,0,1400000,3300000,8,306,7500000,1
5,0,1,500000,1400000,4,471,2200000,1
1,0,1,5100000,15300000,4,628,30500000,0
3,0,0,9800000,25600000,10,404,79600000,1
2,0,1,8600000,21600000,16,804,49600000,0
3,1,0,1600000,3900000,20,804,7400000,0
1,1,1,2500000,6700000,2,502,16800000,1
0,0,0,9500000,22600000,6,861,72500000,0
2,1,1,3000000,7800000,14,555,20600000,0
0,1,0,5100000,13600000,18,351,27400000,1
2,1,1,7600000,23600000,6,358,56100000,1
5,0,0,8800000,18800000,14,836,65500000,0
4,1,1,1100000,2900000,4,554,9500000,0
3,0,0,8700000,30500000,2,443,46300000,0
5,1,0,6100000,23600000,4,725,42900000,0
2,1,1,1900000,7000000,14,818,14900000,0
1,1,0,9900000,38700000,6,670,74300000,0
0,0,0,5800000,21100000,6,414,31900000,1
2,1,1,9500000,37000000,8,887,71000000,0
3,0,1,7900000,26600000,12,409,49700000,1
1,1,1,1300000,4500000,14,679,10100000,0
4,0,1,700000,2600000,18,478,3600000,1
3,0,0,600000,1200000,2,752,4600000,0
0,0,0,9400000,33000000,4,616,53300000,0
2,1,1,3800000,12500000,14,842,30300000,0
3,0,1,7800000,26300000,20,840,41900000,0
3,0,1,7800000,27700000,6,430,41400000,1
4,1,0,2700000,7000000,4,351,14400000,1
5,1,0,600000,2300000,4,347,2100000,1
3,1,1,8000000,28800000,10,576,54500000,0
0,1,1,4000000,11000000,8,799,29400000,0
1,1,1,3300000,10800000,2,550,25500000,0
2,0,0,5800000,13300000,4,878,36900000,0
3,0,1,2400000,4800000,12,895,17700000,0
4,1,0,7600000,29700000,6,603,44900000,0
2,1,1,2500000,6900000,12,325,17400000,1
2,0,0,3300000,11800000,4,393,18800000,0
3,0,0,9800000,30300000,2,612,53000000,0
0,0,1,1000000,3800000,8,553,6900000,0
0,1,1,2500000,8800000,14,389,20800000,1
0,0,0,1900000,6800000,4,782,10800000,0
3,0,0,3100000,8500000,12,493,27800000,1
5,0,1,6000000,11900000,2,629,25900000,0
5,1,0,6500000,21600000,10,419,41400000,1
2,1,1,5900000,15800000,2,444,44400000,1
5,1,1,6500000,15800000,16,301,43600000,1
0,0,1,3800000,11200000,20,479,24900000,1
3,1,1,3000000,11400000,10,424,18400000,1
0,0,0,4300000,16900000,18,469,24200000,1
4,1,1,3500000,8300000,2,897,27800000,0
3,1,0,300000,500000,2,477,2100000,1
3,1,1,600000,1400000,16,509,4200000,1
0,0,1,800000,1700000,4,752,7000000,0
0,1,1,5600000,19100000,14,875,44200000,0
2,1,1,1800000,3600000,4,343,12200000,1
0,0,0,6800000,20800000,20,819,63100000,0
2,0,1,4200000,16800000,2,433,21100000,0
1,1,1,200000,400000,6,768,1000000,0
2,0,1,8500000,31800000,6,714,50100000,0
2,1,1,2800000,10100000,16,531,17100000,1
0,0,1,3600000,8600000,6,529,23300000,1
1,1,0,6200000,19500000,20,448,40800000,1
1,0,0,2700000,10000000,2,584,20300000,0
1,0,0,6800000,22900000,4,501,35000000,0
2,1,0,6300000,24500000,18,848,40100000,0
4,1,0,8800000,19100000,6,586,59400000,0
1,0,0,5900000,13000000,2,386,37100000,1
5,1,1,9800000,37900000,18,301,52100000,1
2,0,0,3300000,8300000,6,653,20700000,0
4,0,1,300000,500000,14,448,1700000,1
1,1,1,4800000,11600000,16,696,29100000,0
1,0,0,7500000,28300000,16,707,33800000,0
2,1,0,8600000,21700000,4,429,53200000,1
4,1,0,8900000,21100000,6,631,36400000,0
5,1,1,9600000,29600000,4,446,76200000,0
0,0,1,7700000,18100000,18,705,41300000,0
3,1,1,7000000,15200000,2,709,47500000,0
4,1,1,7800000,19500000,14,739,35700000,0
3,0,0,5100000,11000000,6,336,24800000,1
4,0,0,9400000,32600000,4,898,54400000,0
4,1,1,600000,2100000,6,558,4800000,0
3,0,0,5100000,13300000,4,589,40200000,0
2,0,1,3800000,14400000,2,301,13700000,1
2,1,1,5300000,21200000,14,516,35800000,1
5,1,0,1100000,3600000,12,315,6500000,1
3,1,0,6400000,14400000,10,546,46900000,1
0,1,1,5100000,14500000,14,559,30400000,0
3,0,1,5300000,16900000,2,350,40000000,0
1,0,0,6700000,18700000,8,583,37400000,0
2,1,0,4000000,9400000,8,874,23100000,0
2,1,1,3900000,11600000,8,808,26800000,0
1,0,1,1600000,4900000,16,487,11300000,1
3,0,0,2700000,7800000,14,870,18500000,0
3,0,0,1400000,3800000,8,840,8700000,0
4,1,1,8000000,19200000,18,682,35700000,0
3,0,1,8200000,28900000,10,668,67900000,0
5,0,1,4800000,10300000,8,781,27000000,0
4,0,0,8100000,19000000,6,375,49600000,1
4,1,0,5900000,14900000,14,857,31600000,0
5,0,1,8100000,32100000,6,823,50600000,0
0,0,0,1400000,5000000,8,686,8400000,0
1,0,0,1600000,6300000,2,721,9700000,0
4,0,0,4600000,9400000,18,545,21000000,1
1,1,0,2900000,8900000,6,523,18000000,1
2,0,1,8600000,24900000,20,607,58400000,0
4,1,0,3800000,14900000,20,428,24700000,1
0,1,0,8200000,20300000,4,666,57000000,0
3,0,0,3200000,10100000,20,704,21100000,0
0,1,1,8100000,23800000,10,794,50400000,0
1,0,1,9800000,23300000,12,430,60200000,1
0,1,0,200000,500000,20,615,1500000,0
0,1,0,6600000,14100000,20,360,45100000,1
0,1,0,9100000,18300000,14,458,59400000,1
2,1,0,5500000,20400000,12,887,33800000,0
4,1,0,7200000,27400000,8,735,57200000,0
1,1,0,2400000,5600000,16,379,14900000,1
4,0,0,9600000,25500000,20,544,50300000,1
1,0,1,5800000,16700000,12,721,35500000,0
4,1,0,2300000,6000000,8,676,13400000,0
1,1,0,300000,1200000,4,342,2200000,0
0,1,0,9900000,27000000,16,566,69200000,0
2,1,0,3500000,14000000,2,355,25000000,0
2,0,0,4800000,18500000,20,605,31700000,0
2,1,0,1600000,5200000,16,525,10400000,1
5,0,1,800000,2500000,12,403,4500000,1
1,0,1,9000000,33500000,18,727,62700000,0
1,0,0,8300000,28900000,12,529,60500000,1
4,0,0,2800000,6100000,18,415,16800000,1
1,0,1,6400000,17300000,10,879,34700000,0
2,1,1,6000000,12600000,16,649,39100000,0
0,0,0,2900000,9800000,16,395,20700000,1
0,0,0,6500000,24100000,20,488,41900000,1
1,0,1,200000,400000,8,569,1400000,0
1,1,0,8400000,24600000,14,817,54400000,0
1,0,1,6100000,17800000,20,706,48100000,0
2,0,1,8000000,31200000,8,553,41600000,0
5,1,1,900000,1800000,14,464,5100000,1
2,0,0,7300000,20000000,6,729,50800000,0
4,1,1,3700000,7400000,12,363,26500000,1
2,0,0,5200000,17200000,12,565,31100000,0
1,0,0,7200000,21000000,14,421,41500000,1
0,1,1,9400000,34200000,10,512,67600000,1
3,1,1,3400000,12400000,2,730,23200000,0
0,0,0,600000,2300000,8,627,4800000,0
0,1,1,3300000,10000000,16,434,24100000,1
2,0,1,5900000,14300000,2,410,37300000,1
3,1,0,1300000,3600000,16,624,9900000,0
4,0,1,5700000,16900000,4,656,50800000,0
2,1,0,7700000,27300000,16,758,45800000,0
4,1,1,7000000,23500000,18,336,52000000,1
5,0,0,8100000,21900000,18,378,34400000,1
1,0,1,1900000,4200000,4,620,15900000,0
2,0,0,4500000,9100000,18,593,15400000,0
0,1,1,9600000,34000000,12,710,80000000,0
